zzz ***Sat Mar 6 11:22:08 EST 2021
top - 23:22:08 up 39 days,  3:08,  5 users,  load average: 0.00, 0.00, 0.00
Tasks: 408 total,   1 running, 406 sleeping,   0 stopped,   1 zombie
%Cpu(s):  1.1 us,  0.8 sy,  0.0 ni, 97.8 id,  0.0 wa,  0.0 hi,  0.3 si,  0.0 st
MiB Mem : 80128.17+total, 3003.977 free, 1091.250 used, 76032.94+buff/cache
MiB Swap: 2047.996 total, 2038.996 free,    9.000 used. 78129.62+avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
12175 root      20   0   39360   4436   3564 R 11.76 0.005   0:00.03 /usr/bin/+
 1554 root      20   0   59548   7024   4288 S 5.882 0.009   0:13.56 /usr/lib/+
28231 rich      20   0   62784  11076   4312 S 5.882 0.013   0:41.64 -zsh
    1 root      20   0   74680  10460   6648 S 0.000 0.013   1:20.85 /usr/lib/+
    2 root      20   0       0      0      0 S 0.000 0.000   0:04.54 [kthreadd]
    3 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [rcu_gp]
    4 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [rcu_par_+
    6 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [kworker/+
    9 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [mm_percp+
   10 root      20   0       0      0      0 S 0.000 0.000   0:00.92 [ksoftirq+
   11 root      20   0       0      0      0 I 0.000 0.000  14:54.96 [rcu_sche+
   12 root      rt   0       0      0      0 S 0.000 0.000   0:08.67 [migratio+
   13 root     -51   0       0      0      0 S 0.000 0.000   0:00.00 [idle_inj+
   14 root      20   0       0      0      0 S 0.000 0.000   0:00.00 [cpuhp/0]
   15 root      20   0       0      0      0 S 0.000 0.000   0:00.00 [cpuhp/1]
   16 root     -51   0       0      0      0 S 0.000 0.000   0:00.00 [idle_inj+
   17 root      rt   0       0      0      0 S 0.000 0.000   0:07.95 [migratio+
   18 root      20   0       0      0      0 S 0.000 0.000   0:02.58 [ksoftirq+
   20 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [kworker/+
   21 root      20   0       0      0      0 S 0.000 0.000   0:00.00 [cpuhp/2]
   22 root     -51   0       0      0      0 S 0.000 0.000   0:00.00 [idle_inj+
   23 root      rt   0       0      0      0 S 0.000 0.000   0:07.98 [migratio+
   24 root      20   0       0      0      0 S 0.000 0.000   0:09.17 [ksoftirq+
   26 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [kworker/+
   27 root      20   0       0      0      0 S 0.000 0.000   0:00.00 [cpuhp/3]
   28 root     -51   0       0      0      0 S 0.000 0.000   0:00.00 [idle_inj+
   29 root      rt   0       0      0      0 S 0.000 0.000   0:08.01 [migratio+
   30 root      20   0       0      0      0 S 0.000 0.000   0:03.45 [ksoftirq+
   32 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [kworker/+
   33 root      20   0       0      0      0 S 0.000 0.000   0:00.00 [cpuhp/4]
   34 root     -51   0       0      0      0 S 0.000 0.000   0:00.00 [idle_inj+
   35 root      rt   0       0      0      0 S 0.000 0.000   0:08.83 [migratio+
   36 root      20   0       0      0      0 S 0.000 0.000   0:03.69 [ksoftirq+
   38 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [kworker/+
   39 root      20   0       0      0      0 S 0.000 0.000   0:00.00 [cpuhp/5]
   40 root     -51   0       0      0      0 S 0.000 0.000   0:00.00 [idle_inj+
   41 root      rt   0       0      0      0 S 0.000 0.000   0:08.78 [migratio+
   42 root      20   0       0      0      0 S 0.000 0.000   0:02.90 [ksoftirq+
   44 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [kworker/+
   45 root      20   0       0      0      0 S 0.000 0.000   0:00.00 [cpuhp/6]
   46 root     -51   0       0      0      0 S 0.000 0.000   0:00.00 [idle_inj+
   47 root      rt   0       0      0      0 S 0.000 0.000   0:08.09 [migratio+
   48 root      20   0       0      0      0 S 0.000 0.000   0:01.93 [ksoftirq+
   50 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [kworker/+
   51 root      20   0       0      0      0 S 0.000 0.000   0:00.00 [cpuhp/7]
   52 root     -51   0       0      0      0 S 0.000 0.000   0:00.00 [idle_inj+
   53 root      rt   0       0      0      0 S 0.000 0.000   0:08.13 [migratio+
   54 root      20   0       0      0      0 S 0.000 0.000   0:03.46 [ksoftirq+
   56 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [kworker/+
   57 root      20   0       0      0      0 S 0.000 0.000   0:00.00 [cpuhp/8]
   58 root     -51   0       0      0      0 S 0.000 0.000   0:00.00 [idle_inj+
   59 root      rt   0       0      0      0 S 0.000 0.000   0:08.35 [migratio+
   60 root      20   0       0      0      0 S 0.000 0.000   0:01.24 [ksoftirq+
   62 root       0 -20       0      0      0 I 0.000 0.000   0:00.00 [kworker/+
   63 root      20   0       0      0      0 S 0.000 0.000   0:00.00 [cpuhp/9]
   64 root     -51   0       0      0      0 S 0.000 0.000   0:00.00 [idle_inj+
   65 root      rt   0       0      0      0 S 0.000 0.000   0:09.02 [migratio+
   66 root      20   0       0      0      0 S 0.000 0.000   0:05.55 [ksoftirq+
