zzz ***Sun Mar 7 06:38:00 EST 2021
Linux 5.3.18-lp152.60-default (proxima.internal.paredes.pw) 	03/07/2021 	_x86_64_	(20 CPU)

06:38:00 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:38:00 PM     0       795    0.00    0.00    0.00    0.00    0.00     1  kworker/1:1H-kblockd
06:38:00 PM     0       796    0.00    0.00    0.00    0.00    0.00    17  kworker/17:1H-kblockd
06:38:00 PM     0       799    0.00    0.01    0.00    0.00    0.01     2  haveged
06:38:00 PM     0      1090    0.00    0.00    0.00    0.00    0.00     9  xfsaild/dm-3
06:38:00 PM     0      1121    0.00    0.00    0.00    0.00    0.00    11  irq/86-brcmf_pc
06:38:00 PM     0      1149    0.00    0.00    0.00    0.00    0.00     1  auditd
06:38:00 PM     0      1398    0.01    0.01    0.00    0.00    0.01     5  irqbalance
06:38:00 PM   499      1408    0.02    0.00    0.00    0.00    0.02    15  dbus-daemon
06:38:00 PM   494      1479    0.00    0.00    0.00    0.00    0.00    17  polkitd
06:38:00 PM     0      1481    0.00    0.00    0.00    0.00    0.00    18  smartd
06:38:00 PM     0      1483    0.03    0.00    0.00    0.00    0.03     7  NetworkManager
06:38:00 PM     0      1522    0.00    0.00    0.00    0.00    0.00     4  rsyslogd
06:38:00 PM     0      1554    0.00    0.00    0.00    0.00    0.00     6  systemd-logind
06:38:00 PM     0      1555    0.00    0.00    0.00    0.00    0.00     9  nm-openconnect-
06:38:00 PM   466      1559    0.00    0.00    0.00    0.00    0.00     8  chronyd
06:38:00 PM   501      1603    0.00    0.00    0.00    0.00    0.00     7  gvfsd-fuse
06:38:00 PM     0      1618    0.00    0.00    0.00    0.00    0.00    14  ModemManager
06:38:00 PM   501      1635    0.00    0.00    0.00    0.00    0.00     6  at-spi-bus-laun
06:38:00 PM   463      1681    0.00    0.00    0.00    0.00    0.00    10  openconnect
06:38:00 PM     0      1813    0.00    0.00    0.00    0.00    0.00     3  kworker/3:2-mm_percpu_wq
06:38:00 PM     0      1859    0.00    0.00    0.00    0.00    0.00     8  kworker/8:0-events
06:38:00 PM     0      1905    0.00    0.00    0.00    0.00    0.00     1  kworker/1:2-rcu_par_gp
06:38:00 PM     0      1918    0.00    0.00    0.00    0.00    0.00     7  kworker/7:1-nfsiod
06:38:00 PM     0      1932    0.00    0.00    0.00    0.00    0.00     4  kworker/4:0-nfsiod
06:38:00 PM    51      1974    0.00    0.00    0.00    0.00    0.00    17  pickup
06:38:00 PM     0      2022    0.00    0.00    0.00    0.00    0.00     9  kworker/9:0-mm_percpu_wq
06:38:00 PM     0      2032    0.00    0.00    0.00    0.00    0.00     1  cron
06:38:00 PM     0      2034    0.00    0.00    0.00    0.00    0.00    10  kworker/10:0-events_freezable_power_
06:38:00 PM     0      2048    0.00    0.00    0.00    0.00    0.00    11  kworker/11:2-mm_percpu_wq
06:38:00 PM     0      2053    0.00    0.00    0.00    0.00    0.00    19  kworker/u40:3-rpciod
06:38:00 PM     0      2130    0.00    0.00    0.00    0.00    0.00    13  kworker/13:2-mm_percpu_wq
06:38:00 PM     0      2198    0.00    0.00    0.00    0.00    0.00     1  kworker/1:0-rcu_gp
06:38:00 PM     0      2228    0.00    0.00    0.00    0.00    0.00     5  systemd
06:38:00 PM     0      2255    0.00    0.00    0.00    0.00    0.00    18  kworker/18:2-events
06:38:00 PM     0      2286    0.00    0.00    0.00    0.00    0.00     4  kworker/u40:0-events_unbound
06:38:00 PM     0      2388    0.00    0.00    0.00    0.00    0.00    17  gdg
06:38:00 PM     0      2421    0.00    0.00    0.00    0.00    0.00     8  pidstat
06:38:00 PM     0      2878    0.00    0.00    0.00    0.00    0.00    10  dbus-daemon
06:38:00 PM     0      2927    0.00    0.00    0.00    0.00    0.00     9  dconf-service
06:38:00 PM     0      2947    0.00    0.00    0.00    0.00    0.00    14  baloo_file
06:38:00 PM     0      2954    0.01    0.00    0.00    0.00    0.01    17  udisksd
06:38:00 PM     0      3005    0.00    0.00    0.00    0.00    0.00    16  upowerd
06:38:00 PM     0      4113    0.00    0.00    0.00    0.00    0.00     0  login
06:38:00 PM   501      4115    0.00    0.00    0.00    0.00    0.00    15  systemd
06:38:00 PM   501      4124    0.00    0.00    0.00    0.00    0.00     3  zsh
06:38:00 PM   501      4210    0.00    0.00    0.00    0.00    0.00     2  zsh
06:38:00 PM   501      4242    0.00    0.00    0.00    0.00    0.00     7  X
06:38:00 PM   501      4250    0.00    0.00    0.00    0.00    0.00    16  startplasma-x11
06:38:00 PM   501      4256    0.00    0.00    0.00    0.00    0.00    10  dbus-daemon
06:38:00 PM   501      4273    0.00    0.00    0.00    0.00    0.00    17  start_kdeinit
06:38:00 PM   501      4275    0.00    0.00    0.00    0.00    0.00     4  kdeinit5
